ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,cbi_score,Burnout_Score
Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Seldom,Sometimes,Sometimes,Often,Often,Sometimes,Female,1970.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,4. 3000 to 4000 eur,40,54.17,0
Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Seldom,Often,Sometimes,Often,Sometimes,Sometimes,Female,1958.0,Employed,Food Industry,Brandenburg,5000 pop. aprox.,3. 2000 to 3000 eur,44,54.17,0
Agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1969.0,Employed,Other,Brandenburg,50000 pop. aprox.,3. 2000 to 3000 eur,50,58.33,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Never,Never,Seldom,Seldom,Seldom,Female,1983.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,50,12.5,0
Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Sometimes,Female,1974.0,Employed,Slaughterhouse,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,50,41.67,0
Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Sometimes,Female,1983.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,55,37.5,0
Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Never,Seldom,Seldom,Sometimes,Seldom,Sometimes,Male,1957.0,Employed,Research,Saxony (Sachsen),50000 pop. aprox.,6. more than 5000 eur,50,29.17,0
Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Seldom,Often,Seldom,Seldom,Seldom,Often,Male,1987.0,Employed,Slaughterhouse,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,20,41.67,0
Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Often,Often,Often,Often,Often,Always,Female,1963.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,40,79.17,1
Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Male,1963.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,4. 3000 to 4000 eur,45,37.5,0
Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Seldom,Sometimes,Often,Always,Often,Often,Male,1979.0,Employed,Farm Animals,Saxony (Sachsen),20000 pop. aprox.,3. 2000 to 3000 eur,50,66.67,1
Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Often,Always,Female,1968.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,30,70.83,1
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Agree,Seldom,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Male,0.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,1. less than 1000 eur,50,37.5,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Often,Sometimes,Often,Often,Often,Sometimes,Female,1990.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,40,66.67,1
Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Often,Often,Often,Often,Often,Often,Female,1970.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,3. 2000 to 3000 eur,35,75.0,1
Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Often,Sometimes,Often,Often,Always,Male,1971.0,Employed,Industry Field Service,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,45,70.83,1
Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1976.0,Self-Employed,Small Animal Medicine,Bavaria,20000 pop. aprox.,4. 3000 to 4000 eur,45,29.17,0
Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Sometimes,Often,Sometimes,Often,Seldom,Sometimes,Female,1977.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,4. 3000 to 4000 eur,40,54.17,0
Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Seldom,Often,Sometimes,Always,Often,Sometimes,Male,0.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,5. 4000 to 5000 eur,40,62.5,0
Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Sometimes,Often,Often,Often,Female,1961.0,Employed,Other,Saxony (Sachsen),5000 pop. aprox.,5. 4000 to 5000 eur,50,62.5,0
Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1986.0,Employed,Horses,Saxony (Sachsen),5000 pop. aprox.,2. 1000 to 2000 eur,60,41.67,0
Disagree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Sometimes,Often,Always,Always,Always,Always,Female,1988.0,Self-Employed,Small Animal Medicine,Saxony-Anhalt,50000 pop. aprox.,2. 1000 to 2000 eur,40,87.5,1
Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Often,Often,Sometimes,Often,Female,1988.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,45,58.33,0
Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Sometimes,Sometimes,Often,Always,Often,Often,Female,1989.0,Employed,Research,Berlin,100000 pop. aprox.,1. less than 1000 eur,40,70.83,1
Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Female,1956.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,5. 4000 to 5000 eur,40,50.0,0
Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Agree,Seldom,Often,Sometimes,Always,Sometimes,Often,Male,1987.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,40,62.5,0
Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Seldom,Sometimes,Often,Always,Seldom,Always,Male,1957.0,Self-Employed,Horses,Brandenburg,5000 pop. aprox.,5. 4000 to 5000 eur,70,62.5,0
Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Sometimes,Often,Sometimes,Often,Often,Often,Male,1987.0,Employed,Research,Saxony (Sachsen),5000 pop. aprox.,3. 2000 to 3000 eur,50,66.67,1
Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Female,1988.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,30,41.67,0
Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Never,Seldom,Sometimes,Often,Sometimes,Often,Female,1983.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,50,45.83,0
Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Seldom,Always,Always,Always,Often,Often,Male,1965.0,Employed,Other,Saxony (Sachsen),50000 pop. aprox.,5. 4000 to 5000 eur,43,79.17,1
Disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Always,Often,Often,Always,Often,Often,Female,1963.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,50,83.33,1
Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1979.0,Self-Employed,Small Animal Medicine,Saxony (Sachsen),5000 pop. aprox.,2. 1000 to 2000 eur,45,25.0,0
Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Disagree,Sometimes,Often,Often,Always,Always,Always,Female,1987.0,Employed,Small Animal Medicine,Brandenburg,5000 pop. aprox.,2. 1000 to 2000 eur,30,83.33,1
Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Seldom,Seldom,Sometimes,Seldom,Seldom,Often,Female,1970.0,Employed,Research,Saxony (Sachsen),20000 pop. aprox.,5. 4000 to 5000 eur,40,37.5,0
Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Always,Often,Always,Always,Always,Always,Male,1969.0,Employed,Research,Bavaria,5000 pop. aprox.,4. 3000 to 4000 eur,42,95.83,1
Agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1966.0,Employed,Industry Field Service,Saxony (Sachsen),5000 pop. aprox.,4. 3000 to 4000 eur,45,54.17,0
Agree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Seldom,Often,Often,Sometimes,Sometimes,Sometimes,Male,1989.0,Employed,University,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,45,54.17,0
Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1986.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,50,54.17,0
Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1983.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,50,25.0,0
Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1972.0,Employed,Small Animal Medicine,Saxony (Sachsen),20000 pop. aprox.,2. 1000 to 2000 eur,20,66.67,1
Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Sometimes,Sometimes,Often,Often,Often,Often,Female,1985.0,Employed,Other,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,45,66.67,1
Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1972.0,Currently looking for a job,Industry Field Service,Brandenburg,50000 pop. aprox.,3. 2000 to 3000 eur,50,33.33,0
Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1962.0,Self-Employed,Zoo Animals,Brandenburg,20000 pop. aprox.,1. less than 1000 eur,65,54.17,0
Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Sometimes,Sometimes,Sometimes,Often,Often,Always,Female,1977.0,Employed,Industry Field Service,Schleswig-Holstein,5000 pop. aprox.,2. 1000 to 2000 eur,35,66.67,1
Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Agree,Sometimes,Sometimes,Seldom,Sometimes,Seldom,Seldom,Female,0.0,Employed,Industry Field Service,Schleswig-Holstein,20000 pop. aprox.,1. less than 1000 eur,55,37.5,0
Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1966.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,50000 pop. aprox.,4. 3000 to 4000 eur,50,25.0,0
Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Sometimes,Often,Always,Always,Often,Always,Male,1946.0,Retired,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,6. more than 5000 eur,70,83.33,1
Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Always,Always,Always,Male,1980.0,Employed,Industry Field Service,Schleswig-Holstein,5000 pop. aprox.,5. 4000 to 5000 eur,39,87.5,1
Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Seldom,Seldom,Seldom,Sometimes,Never,Seldom,Female,1978.0,Employed,Industry Field Service,Brandenburg,5000 pop. aprox.,3. 2000 to 3000 eur,45,25.0,0
Agree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Female,1962.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,5000 pop. aprox.,2. 1000 to 2000 eur,25,58.33,0
Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly disagree,Seldom,Seldom,Sometimes,Often,Sometimes,Always,Female,1985.0,Self-Employed,Horses,Brandenburg,5000 pop. aprox.,2. 1000 to 2000 eur,70,54.17,0
Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Female,1971.0,Self-Employed,Small Animal Medicine,Niedersachsen,20000 pop. aprox.,3. 2000 to 3000 eur,50,37.5,0
Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Seldom,Sometimes,Sometimes,Sometimes,Seldom,Often,Female,1963.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,5. 4000 to 5000 eur,45,45.83,0
Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Sometimes,Often,Sometimes,Often,Often,Always,Female,1956.0,Employed,Zoo Animals,Saxony (Sachsen),5000 pop. aprox.,1. less than 1000 eur,45,70.83,1
Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Seldom,Sometimes,Often,Often,Sometimes,Sometimes,Female,1989.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,60,54.17,0
Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Often,Always,Often,Always,Always,Often,Female,1973.0,Employed,Small Animal Medicine,Schleswig-Holstein,5000 pop. aprox.,2. 1000 to 2000 eur,30,87.5,1
Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Often,Often,Often,Often,Sometimes,Always,Male,1972.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,5. 4000 to 5000 eur,55,75.0,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Seldom,Seldom,Sometimes,Often,Sometimes,Sometimes,Female,1960.0,Self-Employed,Small Animal Medicine,Baden-Wurttemberg,5000 pop. aprox.,3. 2000 to 3000 eur,40,45.83,0
Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Male,1979.0,Employed,Farm Animals,Schleswig-Holstein,50000 pop. aprox.,3. 2000 to 3000 eur,60,33.33,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Seldom,Sometimes,Seldom,Often,Seldom,Often,Male,1965.0,Self-Employed,Farm Animals,Saxony (Sachsen),5000 pop. aprox.,6. more than 5000 eur,80,45.83,0
Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Male,1962.0,Self-Employed,Horses,Schleswig-Holstein,50000 pop. aprox.,1. less than 1000 eur,70,37.5,0
Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1988.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,30,29.17,0
Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1978.0,Employed,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,80,41.67,0
Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Seldom,Sometimes,Often,Always,Always,Always,Female,1972.0,Self-Employed,Horses,Niedersachsen,50000 pop. aprox.,4. 3000 to 4000 eur,46,75.0,1
Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often,Male,1968.0,Self-Employed,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,70,45.83,0
Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1976.0,Employed,Zoo Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,30,25.0,0
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1989.0,Employed,Small Animal Medicine,Berlin,100000 pop. aprox.,1. less than 1000 eur,30,25.0,0
Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Seldom,Seldom,Sometimes,Sometimes,Seldom,Seldom,Male,1945.0,Self-Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,6. more than 5000 eur,70,33.33,0
Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Often,Sometimes,Sometimes,Sometimes,Often,Often,Male,1967.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,4. 3000 to 4000 eur,50,62.5,0
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1965.0,Other,Zoo Animals,Schleswig-Holstein,5000 pop. aprox.,1. less than 1000 eur,45,41.67,0
Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Sometimes,Often,Always,Always,Always,Often,Male,1959.0,Employed,Industry Field Service,Saxony (Sachsen),20000 pop. aprox.,5. 4000 to 5000 eur,40,83.33,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Never,Seldom,Seldom,Sometimes,Seldom,Sometimes,Female,1978.0,Employed,Industry Field Service,Saxony (Sachsen),100000 pop. aprox.,3. 2000 to 3000 eur,42,29.17,0
Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Always,Often,Often,Always,Always,Male,1961.0,Employed,Zoo Animals,Schleswig-Holstein,50000 pop. aprox.,3. 2000 to 3000 eur,30,83.33,1
Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Male,1980.0,Employed,Farm Animals,Schleswig-Holstein,20000 pop. aprox.,2. 1000 to 2000 eur,43,29.17,0
Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Often,Seldom,Always,Female,1981.0,Employed,Small Animal Medicine,Bavaria,50000 pop. aprox.,2. 1000 to 2000 eur,42,54.17,0
Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Often,Often,Always,Always,Always,Often,Female,1985.0,Employed,Research,Saxony (Sachsen),100000 pop. aprox.,2. 1000 to 2000 eur,40,87.5,1
Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Female,1991.0,Working in a non-veterinarian field,Zoo Animals,Brandenburg,100000 pop. aprox.,1. less than 1000 eur,20,54.17,0
Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Often,Seldom,Sometimes,Female,1961.0,Employed,Industry Field Service,Niedersachsen,50000 pop. aprox.,5. 4000 to 5000 eur,60,37.5,0
Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Seldom,Seldom,Sometimes,Often,Sometimes,Sometimes,Female,1973.0,Employed,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,30,45.83,0
Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Seldom,Seldom,Seldom,Seldom,Seldom,Seldom,Female,1978.0,Employed,Industry Technical Service,Bavaria,20000 pop. aprox.,3. 2000 to 3000 eur,50,25.0,0
Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Often,Female,1985.0,Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,2. 1000 to 2000 eur,45,54.17,0
Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Seldom,Sometimes,Sometimes,Often,Sometimes,Sometimes,Female,1978.0,Employed,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,60,50.0,0
Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Seldom,Often,Often,Often,Often,Always,Female,1987.0,Employed,Slaughterhouse,Berlin,100000 pop. aprox.,2. 1000 to 2000 eur,38,70.83,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Sometimes,Seldom,Sometimes,Sometimes,Sometimes,Female,1966.0,Employed,Small Animal Medicine,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,30,41.67,0
Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Seldom,Sometimes,Seldom,Seldom,Sometimes,Sometimes,Female,1959.0,Employed,Food Industry,Niedersachsen,100000 pop. aprox.,6. more than 5000 eur,42,37.5,0
Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Never,Never,Never,Seldom,Seldom,Sometimes,Male,1971.0,Self-Employed,Small Animal Medicine,Hamburg,5000 pop. aprox.,3. 2000 to 3000 eur,60,16.67,0
